#Definitions For Art,
Giotto,Madonna Enthroned
Cimabue,Madonna Enthroned
David,Donatello (Florence)
David,Verrocchio (Florence)
Annunication (Florence),Fra Angelico
Florence Bapistry Doors – Sacrifice of Isaac,Ghiverti
The Flagellatioin,Della Francesca
Legend of the True Cross,Della Francesca
Dream of Constatine,Della Francesca
Discovery and Proff,Della Francesca
Queen of Sheba,Della Francesca
Duke and Duchess of Urbino (florence),Della Francesca
Birth of Venus,Botichelli
Baptism of Christ,Verrocchio (Florence)
Mona Lisa,Leonardo Da Vinci – (Paris)
Last Supper,Leonardo Da Vinci – (Milan)
Madonna of the Rocks,Leonardo Da Vinci
Florence Cathedral,Brunelleschi
Sir John Hawkwood – Fresco / Equestrian Portrait,Ucello
School of Athens.,Raphael (Rome)
Sistine Chapel,Michaelangelo
Creation of Adam,Michaelangelo
Fall of Man,Michaelangelo
David (Florence),Michaelangelo
Pieta (Vatican , Rome),Michaelangelo
Venus of Urbino,Titan
